Shot 1: Jarak=3.90, Desnivel=-0.01, Fator=179, Wind=5, Sudut=70.0, Power=2.06
Shot 2: Jarak=3.90, Desnivel=-0.01, Fator=179, Wind=6, Sudut=70.0, Power=2.10
Shot 1: Jarak=4.26, Desnivel=0.17, Fator=333, Wind=9, Sudut=70.0, Power=1.88
Shot 1: Jarak=4.06, Desnivel=0.11, Fator=192, Wind=17, Sudut=61.0, Power=2.06
Shot 2: Jarak=4.18, Desnivel=0.62, Fator=192, Wind=17, Sudut=61.0, Power=2.12
Shot 3: Jarak=4.07, Desnivel=0.44, Fator=192, Wind=18, Sudut=61.0, Power=2.11
Shot 1: Jarak=3.63, Desnivel=0.76, Fator=192, Wind=17, Sudut=70.0, Power=2.52
Shot 2: Jarak=3.63, Desnivel=0.76, Fator=192, Wind=17, Sudut=70.0, Power=2.52
Shot 3: Jarak=4.24, Desnivel=0.78, Fator=192, Wind=18, Sudut=70.0, Power=2.78
Shot 4: Jarak=4.30, Desnivel=0.38, Fator=192, Wind=17, Sudut=66.0, Power=2.39
Shot 5: Jarak=5.64, Desnivel=0.37, Fator=192, Wind=17, Sudut=66.0, Power=2.73
Shot 6: Jarak=5.64, Desnivel=0.37, Fator=192, Wind=16, Sudut=66.0, Power=2.69
Shot 7: Jarak=5.64, Desnivel=0.37, Fator=192, Wind=16, Sudut=66.0, Power=2.69
Shot 8: Jarak=5.64, Desnivel=0.37, Fator=192, Wind=16, Sudut=66.0, Power=2.69
Shot 9: Jarak=2.55, Desnivel=1.44, Fator=192, Wind=17, Sudut=66.0, Power=1.92
Shot 10: Jarak=2.76, Desnivel=1.10, Fator=201, Wind=6, Sudut=66.0, Power=1.75
Shot 11: Jarak=2.76, Desnivel=1.10, Fator=201, Wind=8, Sudut=66.0, Power=1.78
Shot 1: Jarak=2.76, Desnivel=1.10, Fator=201, Wind=8, Sudut=70.0, Power=1.92
Shot 2: Jarak=0.00, Desnivel=0.00, Fator=49572, Wind=142, Sudut=70.0, Power=-2146826281.00
